Nombre Entidad,Nit Entidad,Departamento,Ciudad,Localización,Orden,Sector,Rama,Entidad Centralizada,Proceso de Compra,ID Contrato,Referencia del Contrato,Estado Contrato,Codigo de Categoria Principal,Descripcion del Proceso,Tipo de Contrato,Modalidad de Contratacion,Justificacion Modalidad de Contratacion,Fecha de Firma,Fecha de Inicio del Contrato,Fecha de Fin del Contrato,Fecha de Inicio de Ejecucion,Fecha de Fin de Ejecucion,Condiciones de Entrega,TipoDocProveedor,Documento Proveedor,Proveedor Adjudicado,Es Grupo,Es Pyme,Habilita Pago Adelantado,Liquidación,Obligación Ambiental,Obligaciones Postconsumo,Reversion,Valor del Contrato,Valor de pago adelantado,Valor Facturado,Valor Pendiente de Pago,Valor Pagado,Valor Amortizado,Valor Pendiente de Amortizacion,Valor Pendiente de Ejecucion,Estado BPIN,Código BPIN,Anno BPIN,Saldo CDP,Saldo Vigencia,EsPostConflicto,URLProceso,Destino Gasto,Origen de los Recursos,Dias Adicionados,Puntos del Acuerdo,Pilares del Acuerdo,Nombre Representante Legal,Nacionalidad Representante Legal,Tipo de Identificación Representante Legal,Identificación Representante Legal,Género Representante Legal,Presupuesto General de la Nacion – PGN,Sistema General de Participaciones,Sistema General de Regalías,"Recursos Propios (Alcaldías, Gobernaciones y Resguardos Indígenas)",Recursos de Credito,Recursos Propios,Ultima Actualizacion,Codigo Entidad,Fecha Inicio Liquidacion,Fecha Fin Liquidacion,Codigo Proveedor,Objeto del Contrato
CONTRALORIA GENERAL DE LA REPUBLICA,"899,999,067",Distrito Capital de Bogotá,No Definido,"Colombia, Bogotá, Bogotá",Nacional,No aplica/No pertenece,Corporación Autónoma,Centralizada,CO1.BDOS.4348807,CO1.PCCNTR.4910285,CGR-264-2023,Activo,V1.80111600,Prestación de servicios profesionales para apoyo jurídico a la dirección de vigilancia y control fiscal de la contraloría delegada para el sector justicia para la evaluación del proceso litigioso de las entidades del sector evaluación y seguimiento a comités de conciliación y actos de repetición en,Prestación de servicios,Contratación directa,ServiciosProfesionales,04/28/2023,,09/30/2023,,,A convenir,Cédula de Ciudadanía,60382612,Veronica Pelaez,No,No,No,No,No,No,No,"91,630,000",0,0,"91,630,000",0,0,0,"91,630,000",Válido,No Definido,N/D,"124,950,000",0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4352890&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,Veronica Pelaez,colombiana,Cédula de Ciudadanía,60382612,Mujer,"91,630,000",0,0,0,0,0,04/30/2023 12:00:00 AM,700686124,,,719752396,Prestación de servicios profesionales para apoyo jurídico a la dirección de vigilancia y control fiscal de la contraloría delegada para el sector justicia para la evaluación del proceso litigioso de las entidades del sector evaluación y seguimiento a comités de conciliación y actos de repetición en desarrollo del Plan Nacional de Vigilancia y Control Fiscal
MUNICIPIO DE PEREIRAOFICIAL,"891,480,030",Risaralda,Pereira,"Colombia,  Risaralda ,  Pereira",Territorial,Servicio Público,Ejecutivo,Descentralizada,CO1.BDOS.4182428,CO1.PCCNTR.4905729,3549-2023,Activo,V1.81101700,CONTRATACIÓN DE DOS CUADRILLAS CON VEHÍCULO PERSONAL TÉCNICO EQUIPOS Y HERRAMIENTAS PARA LA ATENCIÓN DE DAÑOS EN EL SISTEMA ALUMBRADO PÚBLICO DEL MUNICIPIO DE PEREIRA,Prestación de servicios,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,04/28/2023,,06/27/2023,,,A convenir,Cédula de Ciudadanía,10029081,Juan Guillermo Escobar Velasquez IECCON,No,Si,No,No,No,No,No,"80,301,200",0,0,"80,301,200",0,0,0,"80,301,200",Válido,No Definido,N/D,"98,500,000",0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4247496&isFromPublicArea=True&isModal=true&asPopupView=true,Inversión,Distribuido,0,No aplica,No aplica,juan guillermo Escobar Velasquez,Colombia,Sin Descripcion,10029081,No Definido,0,0,0,"80,301,200",0,0,04/28/2023 12:00:00 AM,702259557,,,706599206,CONTRATACIÓN DE DOS CUADRILLAS CON VEHÍCULO PERSONAL TÉCNICO EQUIPOS Y HERRAMIENTAS PARA LA ATENCIÓN DE DAÑOS EN EL SISTEMA ALUMBRADO PÚBLICO DEL MUNICIPIO DE PEREIRA
POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,"8,909,801,366",Antioquia,Medellín,"Colombia, Antioquia, Medellín",Territorial,No aplica/No pertenece,Corporación Autónoma,Descentralizada,CO1.BDOS.4347349,CO1.PCCNTR.4909445,441083-2023,Activo,V1.80111620,Prestación de servicios profesionales para apoyar laDirección de Programas y Proyectos Especiales en elmarco del Convenio Interadministrativo No 040COV2211107 suscrito con CORANTIOQUIA,Prestación de servicios,Contratación directa,ServiciosProfesionales,04/28/2023,,06/26/2023,,,A convenir,Cédula de Ciudadanía,1085311929,Juliana Andrea Delgado Eraso,No,No,No,No,No,No,No,"7,672,000",0,0,"7,672,000",0,0,0,"7,672,000",Válido,No Definido,N/D,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4351706&isFromPublicArea=True&isModal=true&asPopupView=true,Inversión,Recursos Propios,0,No aplica,No aplica,Juliana Delgado,Colombiana,Cédula de Ciudadanía,1085311929,Mujer,0,0,0,0,0,"7,672,000",04/28/2023 12:00:00 AM,710346917,,,714475456,Prestación de servicios profesionales para apoyar la Dirección de Programas y Proyectos Especiales en el marco del Convenio Interadministrativo No 040COV2211107 suscrito con CORANTIOQUIA
ICANH,"830,067,892",Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Cultura,Ejecutivo,Centralizada,CO1.BDOS.4333648,CO1.PCCNTR.4905762,220-2023,Activo,V1.80111500,Prestar servicios de apoyo a la gestión por sus propios medios con plenaautonomía técnica administrativa y financiera para el desarrollo de las actividades relacionadas con lacoordinación y solicitudes presentadas por la ciudadanía al grupo de arqueología,Prestación de servicios,Contratación directa,ServiciosProfesionales,04/28/2023,,12/15/2023,,,Como acordado previamente,Cédula de Ciudadanía,1020809639,Juan Carlos Rojas Mateus,No,No,No,No,No,No,No,"20,610,000",0,0,"20,610,000",0,0,0,"20,610,000",Válido,No Definido,N/D,"20,610,000",0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4345851&isFromPublicArea=True&isModal=true&asPopupView=true,Inversión,Distribuido,0,No aplica,No aplica,Juan Carlos Rojas Mateus,Colombiano,Cédula de Ciudadanía,1020809639,Hombre,"20,610,000",0,0,0,0,0,04/28/2023 12:00:00 AM,701159022,,,721634103,Prestar servicios de apoyo a la gestión por sus propios medios con plena autonomía técnica administrativa y financiera para el desarrollo de las actividades relacionadas con la coordinación y solicitudes presentadas por la ciudadanía al grupo de arqueología
DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,"890,102,018",Atlántico,Barranquilla,"Colombia,  Atlántico ,  Barranquilla",Territorial,Servicio Público,Ejecutivo,Descentralizada,CO1.BDOS.4333560,CO1.PCCNTR.4899123,CD-58-2023-2939,Activo,V1.80111600,PRESTACIONDE SERVICIOS DE APOYO A LA GESTION PARA BRINDAR ACOMPAÑAMIENTO AL DISTRITO DE BARRANQUILLA EN ELDESARROLLO DE LAS ACTIVIDADES DE INDOLE OPERATIVA Y MISIONAL DE LA SECRETARIA DISTRITAL DERECREACION Y DEPORTES,Prestación de servicios,Contratación directa,ServiciosProfesionales,04/28/2023,,08/27/2023,,,No Definido,Cédula de Ciudadanía,72172917,LUIS CARLOS HERAZO DE AVILA,No,No,No,No,No,No,No,"8,000,000",0,0,"8,000,000",0,0,0,"8,000,000",Válido,No Definido,N/D,"603,000,000",0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4336150&isFromPublicArea=True&isModal=true&asPopupView=true,Inversión,Distribuido,0,No aplica,No aplica,LUIS CARLOS HERAZO DE AVILA,COLOMBIANO,Cédula de Ciudadanía,72172917,Hombre,0,0,0,"8,000,000",0,0,04/28/2023 12:00:00 AM,702442096,,,711309112,PRESTACIONDE SERVICIOS DE APOYO A LA GESTION PARA BRINDAR ACOMPAÑAMIENTO AL DISTRITO DE BARRANQUILLA EN ELDESARROLLO DE LAS ACTIVIDADES DE INDOLE OPERATIVA Y MISIONAL DE LA SECRETARIA DISTRITAL DERECREACION Y DEPORTES
ALCALDIA LOCAL DE USAQUEN,"899,999,061",Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Territorial,Servicio Público,Ejecutivo,Descentralizada,CO1.BDOS.4349730,CO1.PCCNTR.4910920,FDLUSA-CTO-408-2023,Activo,V1.80131500,ARRENDAMIENTO DEL INMUEBLE UBICADO EN CALLE 161 A  7F 69 DE LA CIUDAD DE BOGOTÁ BARRIO SAN CRISTOBAL USAQUÉN PARA EL FUNCIONAMIENTO INSTITUCIONAL DE LA ALCALDIA LOCAL DE USAQUEN,Arrendamiento de inmuebles,Contratación directa,Arrendamiento de inmuebles,04/28/2023,,03/01/2024,,,Como acordado previamente,No Definido,830147120,KAJA INMOBILIARIA LTDA,No,Si,No,No,No,No,No,"107,690,000",0,0,"107,690,000",0,0,0,"107,690,000",Válido,No Definido,N/D,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4353335&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Recursos Propios,0,No aplica,No aplica,Kathy Yaneth Celis Cuadros,Colombiana,Cédula de Ciudadanía,40026651,Mujer,0,0,0,0,0,"107,690,000",04/28/2023 12:00:00 AM,702413634,,,718918931,ARRENDAMIENTO DEL INMUEBLE UBICADO EN CALLE 161 A  7F 69 DE LA CIUDAD DE BOGOTÁ BARRIO SAN CRISTÓBAL USAQUÉN PARA EL FUNCIONAMIENTO INSTITUCIONAL DE LA ALCALDIA LOCAL DE USAQUEN
AREA METROPOLITANA DE BUCARAMANGA,"890,210,581",Santander,Bucaramanga,"Colombia,  Santander ,  Bucaramanga",Territorial,Planeación,Corporación Autónoma,Centralizada,CO1.BDOS.4349325,CO1.PCCNTR.4910412,000486-2023,Activo,V1.80111600,PRESTACION DE SERVICIOS COMO JARDINERO EN EL MARCO DEL CONVENIO PARA RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES EN PARQUES UBICADOS EN EL MUNICIPIO DE BUCARAMANGA,Prestación de servicios,Contratación directa,ServiciosProfesionales,04/28/2023,,08/28/2023,,,A convenir,Cédula de Ciudadanía,13742105,JOHN FERNANDO GARCIA OVALLES,No,No,No,No,No,No,No,"7,800,000",0,0,"7,800,000",0,0,0,"7,800,000",Válido,No Definido,N/D,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4352580&isFromPublicArea=True&isModal=true&asPopupView=true,Inversión,Recursos Propios,0,No aplica,No aplica,JOHN FERNANDO GARCIA OVALLES,colombiana,Cédula de Ciudadanía,13742105,Hombre,0,0,0,0,0,"7,800,000",04/28/2023 12:00:00 AM,702658881,,,721246239,PRESTACION DE SERVICIOS COMO JARDINERO EN EL MARCO DEL CONVENIO PARA RECUPERACION Y MANTENIMIENTO DE ZONAS VERDES EN PARQUES UBICADOS EN EL MUNICIPIO DE BUCARAMANGA
ALCALDIA MUNICIPAL DE IBAGUE  IBAGUE,"800,113,389",Tolima,Ibagué,"Colombia,  Tolima ,  Ibagué",Territorial,Servicio Público,Ejecutivo,Descentralizada,CO1.BDOS.4322377,CO1.PCCNTR.4902955,1364 de 24 de abril  de 2023,Activo,V1.80111701,SS287CONTRATAR LOS SERVICIOS DE APOYO A LA GESTIÓN PARA LA EJECUCIÓN DE LAS ACCIONES DE GESTIÓN DE LA SALUD PÚBLICA EN LA DIMENSIÓN DE SALUD AMBIENTAL,Prestación de servicios,Contratación directa,ServiciosProfesionales,04/28/2023,,10/22/2023,,,A convenir,Cédula de Ciudadanía,32752832,NURY MOJICA MORALES,No,No,No,No,No,No,No,"10,020,000",0,0,"10,020,000",0,0,0,"10,020,000",Válido,No Definido,N/D,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4342988&isFromPublicArea=True&isModal=true&asPopupView=true,Inversión,Distribuido,0,No aplica,No aplica,NURY MOJICA MORALES,colombiana,Cédula de Ciudadanía,32752832,Mujer,0,0,0,"10,020,000",0,0,04/28/2023 12:00:00 AM,700787393,,,719435943,SS287CONTRATAR LOS SERVICIOS DE APOYO A LA GESTIÓN PARA LA EJECUCIÓN DE LAS ASS287CONTRATAR LOS SERVICIOS DE APOYO A LA GESTIÓN PARA LA EJECUCIÓN DE LAS ACCIONES DE GESTIÓN DE LA SALUD PÚBLICA EN LA DIMENSIÓN DE SALUD AMBIENTALCCIONES DE GESTIÓN DE LA SALUD PÚBLICA EN LA DIMENSIÓN DE SALUD AMBIENTAL
MINISTERIO DEL DEPORTE,"899,999,306",Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,deportes,Ejecutivo,Centralizada,CO1.BDOS.4331196,CO1.PCCNTR.4900670,CPSA-705-2023,Activo,V1.80111701,Prestar apoyo a la gestión en los aspectos administrativos relacionados con el GIT de Deporte Escolar,Prestación de servicios,Contratación directa,ServiciosProfesionales,04/28/2023,,12/31/2023,,,A convenir,Cédula de Ciudadanía,1026306575,Breidy Yefrey Alfonso Ardila,No,No,No,No,No,No,No,"36,000,000",0,0,"36,000,000",0,0,0,"36,000,000",Válido,No Definido,N/D,"36,000,000",0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4340629&isFromPublicArea=True&isModal=true&asPopupView=true,Inversión,Distribuido,0,No aplica,No aplica,Breidy Yefrey Alfonso Ardila,colombiana,Cédula de Ciudadanía,1026306575,Hombre,"36,000,000",0,0,0,0,0,04/28/2023 12:00:00 AM,700613045,,,713216364,Prestar apoyo a la gestión en los aspectos administrativos relacionados con el GIT de Deporte Escolar
ASOCIACION DE MUNICIPIOS DEL MAGDALENA MEDIO ANTIOQUEÑO,"900,793,275",Antioquia,Medellín,"Colombia,  Antioquia ,  Medellín",Nacional,No aplica/No pertenece,Corporación Autónoma,Descentralizada,CO1.BDOS.4306485,CO1.PCCNTR.4878322,PS-011-2023,En ejecución,V1.80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES EN LA ASESORÍA JURÍDICA PARA EL FORTALECIMIENTO INSTITUCIONAL DE LA ASOCIACIÓN DE MUNICIPIOS DEL MAGDALENA MEDIO ANTIOQUEÑO AMMA,Prestación de servicios,Contratación directa,ServiciosProfesionales,04/28/2023,04/28/2023,09/30/2023,,,No Definido,Cédula de Ciudadanía,1047969818,YOLANDA GARCÍA CORRALES,No,No,No,No,No,No,No,"30,000,000",0,0,"30,000,000",0,0,0,"30,000,000",Válido,No Definido,N/D,"30,000,000",0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4309627&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,YOLANDA GARCÍA CORRALES,Colombian,Sin Descripcion,1047969818,No Definido,0,0,0,"30,000,000",0,0,04/28/2023 12:00:00 AM,713714087,,,708250170,PRESTACIÓN DE SERVICIOS PROFESIONALES EN LA ASESORÍA JURÍDICA PARA EL FORTALECIMIENTO INSTITUCIONAL DE LA ASOCIACIÓN DE MUNICIPIOS DEL MAGDALENA MEDIO ANTIOQUEÑO AMMA
